Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG060 #1,9,977272727.5,26136.36364,2.67E-05,2843.172563,331.3565915,0.116544664,2.91E-06,3.39E-07
DG060 #2,9,1454545455,13181.81818,9.06E-06,1536.79805,190.6106778,0.124031051,1.06E-06,1.31E-07
DG060 #3,9,1068181818,7500,7.02E-06,928.906655,121.6055818,0.130912596,8.70E-07,1.14E-07
DG060 #4,9,1090909091,6818.181818,6.25E-06,853.4193928,112.7767569,0.132146935,7.82E-07,1.03E-07
DG060 #5,9,1113636364,10454.54545,9.39E-06,1249.031207,158.3465408,0.126775488,1.12E-06,1.42E-07
DG060 #6,9,1181818182,7045.454545,5.96E-06,878.6609915,115.7370741,0.131719827,7.43E-07,9.79E-08
DG060 #7,9,1340909091,7272.727273,5.42E-06,903.8224255,118.6797849,0.131308741,6.74E-07,8.85E-08
DG060 #8,9,1227272727,15909.09091,1.30E-05,1819.004123,221.7103164,0.121885549,1.48E-06,1.81E-07
DG060 #9,9,1204545455,5681.818182,4.72E-06,725.8886285,97.68276847,0.134569911,6.03E-07,8.11E-08
DG061 #1,9,1272727273,18636.36364,1.46E-05,2096.764979,251.8925206,0.120133884,1.65E-06,1.98E-07
DG061 #2,9,1045454545,6818.181818,6.52E-06,853.4193928,112.7767569,0.132146935,8.16E-07,1.08E-07
DG061 #3,9,1318181818,9772.727273,7.41E-06,1176.033867,150.0566621,0.127595528,8.92E-07,1.14E-07
DG061 #4,9,1090909091,15909.09091,1.46E-05,1819.004123,221.7103164,0.121885549,1.67E-06,2.03E-07
DG061 #5,9,1681818182,25000,1.49E-05,2731.466137,319.5945879,0.117004778,1.62E-06,1.90E-07
DG061 #6,9,1340909091,16818.18182,1.25E-05,1912.041985,231.8635536,0.121264886,1.43E-06,1.73E-07
DG061 #7,9,1363636364,14090.90909,1.03E-05,1631.419829,201.0921887,0.123262072,1.20E-06,1.47E-07
DG061 #8,9,1113636364,14545.45455,1.31E-05,1678.515649,206.2881376,0.122899145,1.51E-06,1.85E-07
DG061 #9,9,1272727273,17500,1.38E-05,1981.516879,239.4161203,0.120824669,1.56E-06,1.88E-07
DG062 #1,9,1386363636,12045.45455,8.69E-06,1417.653013,177.3271282,0.125085001,1.02E-06,1.28E-07
DG062 #2,9,1659090909,19318.18182,1.16E-05,2165.604976,259.3153668,0.119742691,1.31E-06,1.56E-07
DG062 #3,9,1090909091,10227.27273,9.38E-06,1224.750815,155.5943591,0.127041646,1.12E-06,1.43E-07
DG062 #4,9,1886363636,11818.18182,6.27E-06,1393.699972,174.6443375,0.125309852,7.39E-07,9.26E-08
DG062 #5,9,1750000000,19318.18182,1.10E-05,2165.604976,259.3153668,0.119742691,1.24E-06,1.48E-07
DG062 #6,9,1636363636,18181.81818,1.11E-05,2050.744826,246.9181151,0.120404115,1.25E-06,1.51E-07
DG062 #7,9,1681818182,11590.90909,6.89E-06,1369.703422,171.952368,0.125539854,8.14E-07,1.02E-07
DG062 #8,9,2000000000,12045.45455,6.02E-06,1417.653013,177.3271282,0.125085001,7.09E-07,8.87E-08
DG062 #9,9,1636363636,18863.63636,1.15E-05,2119.736649,254.3718931,0.120001649,1.30E-06,1.55E-07
