Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1043 #1,LB,0.01,1e-06,1e-05,4,1,28,23,254545454.5454545
SLM1043 #2,LB,0.01,1e-06,1e-05,3,3,28,29,286363636.3636363
SLM1043 #3,LB,0.01,1e-06,1e-05,1,2,25,23,231818181.8181818
SLM1043 #4,LB,0.01,1e-06,1e-05,5,4,30,28,304545454.5454545
SLM1043 #5,LB,0.01,1e-06,1e-05,2,1,21,23,213636363.6363636
SLM1043 #6,LB,0.01,1e-06,1e-05,5,2,29,27,286363636.3636363
SLM1043 #7,LB,0.01,1e-06,1e-05,7,3,27,25,281818181.8181817
SLM1043 #8,LB,0.01,1e-06,1e-05,3,1,20,27,231818181.8181818
SLM1043 #9,LB,0.01,1e-06,1e-05,1,6,23,18,218181818.1818182
SLM1042 #1,LB,0.01,1e-06,1e-05,4,4,30,27,295454545.4545454
SLM1042 #2,LB,0.01,1e-06,1e-05,1,2,20,23,209090909.090909
SLM1042 #3,LB,0.01,1e-06,1e-05,4,4,26,24,263636363.6363636
SLM1042 #4,LB,0.01,1e-06,1e-05,4,2,25,30,277272727.2727273
SLM1042 #5,LB,0.01,1e-06,1e-05,4,2,20,30,254545454.5454545
SLM1042 #6,LB,0.01,1e-06,1e-05,4,5,23,15,213636363.6363636
SLM1042 #7,LB,0.01,1e-06,1e-05,4,3,21,30,263636363.6363636
SLM1042 #8,LB,0.01,1e-06,1e-05,4,3,19,30,254545454.5454545
SLM1042 #9,LB,0.01,1e-06,1e-05,4,4,18,23,222727272.7272727
SLM1043 #1,Kan,0.01,1.0,0.1,23,17,5,1,2090.909090909091
SLM1043 #2,Kan,0.01,1.0,0.1,32,35,4,3,3363.636363636364
SLM1043 #3,Kan,0.01,1.0,0.1,48,54,7,5,5181.818181818181
SLM1043 #4,Kan,0.01,1.0,0.1,19,19,4,1,1954.545454545455
SLM1043 #5,Kan,0.01,1.0,0.1,21,23,4,1,2227.272727272727
SLM1043 #6,Kan,0.01,1.0,0.1,24,22,2,3,2318.181818181818
SLM1043 #7,Kan,0.01,1.0,0.1,40,32,2,7,3681.818181818182
SLM1043 #8,Kan,0.01,1.0,0.1,26,30,4,4,2909.090909090909
SLM1043 #9,Kan,0.01,1.0,0.1,23,25,0,1,2227.272727272727
SLM1042 #1,Kan,0.01,1.0,0.1,7,7,1,3,818.1818181818181
SLM1042 #2,Kan,0.01,1.0,0.1,9,10,1,3,1045.454545454545
SLM1042 #3,Kan,0.01,1.0,0.1,7,11,1,3,1000.0
SLM1042 #4,Kan,0.01,1.0,0.1,19,16,4,3,1909.090909090909
SLM1042 #5,Kan,0.01,1.0,0.1,15,11,5,1,1454.545454545455
SLM1042 #6,Kan,0.01,1.0,0.1,8,14,1,2,1136.363636363636
SLM1042 #7,Kan,0.01,1.0,0.1,4,6,0,0,454.5454545454545
SLM1042 #8,Kan,0.01,1.0,0.1,4,9,0,0,590.9090909090909
SLM1042 #9,Kan,0.01,1.0,0.1,3,2,0,0,227.2727272727273
SLM1042 #3,Kan,0.1,1.0,0.1,80,80,8,8,799.9999999999999
SLM1043 #6,Kan,0.1,1.0,0.1,215,215,23,23,2163.636363636364
SLM1043 #6,LB,0.1,1e-06,1e-05,20,20,260,260,254545454.54545447
SLM1042 #3,LB,0.1,10e-7,10e-6,27,27,192,192,199090909.09090903
